Month,#Passengers
2008-01-01,4704
2008-02-01,4956
2008-03-01,5544
2008-04-01,5418
2008-05-01,5082
2008-06-01,5670
2008-07-01,6216
2008-08-01,6216
2008-09-01,5712
2008-10-01,4998
2008-11-01,4368
2008-12-01,4956
2009-01-01,4830
2009-02-01,5292
2009-03-01,5922
2009-04-01,5670
2009-05-01,5250
2009-06-01,6258
2009-07-01,7140
2009-08-01,7140
2009-09-01,6636
2009-10-01,5586
2009-11-01,4788
2009-12-01,5880
2010-01-01,6090
2010-02-01,6300
2010-03-01,7476
2010-04-01,6846
2010-05-01,7224
2010-06-01,7476
2010-07-01,8358
2010-08-01,8358
2010-09-01,7728
2010-10-01,6804
2010-11-01,6132
2010-12-01,6972
2011-01-01,7182
2011-02-01,7560
2011-03-01,8106
2011-04-01,7602
2011-05-01,7686
2011-06-01,9156
2011-07-01,9660
2011-08-01,10164
2011-09-01,8778
2011-10-01,8022
2011-11-01,7224
2011-12-01,8148
2012-01-01,8232
2012-02-01,8232
2012-03-01,9912
2012-04-01,9870
2012-05-01,9618
2012-06-01,10206
2012-07-01,11088
2012-08-01,11424
2012-09-01,9954
2012-10-01,8862
2012-11-01,7560
2012-12-01,8442
2013-01-01,8568
2013-02-01,7896
2013-03-01,9870
2013-04-01,9534
2013-05-01,9828
2013-06-01,11088
2013-07-01,12684
2013-08-01,12306
2013-09-01,10878
2013-10-01,9618
2013-11-01,8526
2013-12-01,9618
2014-01-01,10164
2014-02-01,9786
2014-03-01,11214
2014-04-01,11298
2014-05-01,11340
2014-06-01,13230
2014-07-01,15288
2014-08-01,14574
2014-09-01,13104
2014-10-01,11508
2014-11-01,9954
2014-12-01,11676
2015-01-01,11928
2015-02-01,11634
2015-03-01,13314
2015-04-01,13146
2015-05-01,13356
2015-06-01,15708
2015-07-01,17346
2015-08-01,17010
2015-09-01,14910
2015-10-01,12852
2015-11-01,11382
2015-12-01,12852
2016-01-01,13230
2016-02-01,12642
2016-03-01,14952
2016-04-01,14616
2016-05-01,14910
2016-06-01,17724
2016-07-01,19530
2016-08-01,19614
2016-09-01,16968
2016-10-01,14574
2016-11-01,12810
2016-12-01,14112
2017-01-01,14280
2017-02-01,13356
2017-03-01,15204
2017-04-01,14616
2017-05-01,15246
2017-06-01,18270
2017-07-01,20622
2017-08-01,21210
2017-09-01,16968
2017-10-01,15078
2017-11-01,13020
2017-12-01,14154
2018-01-01,15120
2018-02-01,14364
2018-03-01,17052
2018-04-01,16632
2018-05-01,17640
2018-06-01,19824
2018-07-01,23016
2018-08-01,23478
2018-09-01,19446
2018-10-01,17094
2018-11-01,15204
2018-12-01,17010
2019-01-01,17514
2019-02-01,16422
2019-03-01,17598
2019-04-01,19362
2019-05-01,19824
2019-06-01,22470
2019-07-01,26124
2019-08-01,25452
2019-09-01,21336
2019-10-01,19362
2019-11-01,16380
2019-12-01,18144
